,classes,relations
000012,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000017,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
000023,[ 0  0 15  0  0  0  0  0  0  0  0  0  0  0  0 15  0  0  0  0  0],[ 0 11  0  0  4]
000026,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000032,[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 1 4]
000033,[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 2 1]
000034,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 1 0 0 0]
000035,[0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 9 0 0 0 0 0],[0 3 0 0 3]
000036,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000042,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
000044,[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0]
000047,[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000048,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 1 0 0]
000061,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000064,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000066,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 2]
000073,[0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 6 0 0 0 0],[0 2 0 1 3]
000077,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000078,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000083,[ 0  0  0  0  0  0  0  5  0  0  0  0  0  0  0 25  0  0  0  0  0],[0 6 0 0 9]
000089,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0],[0 4 0 0 2]
000091,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 2 0 0 1]
000104,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2],[0 1 0 0 2]
000112,[0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1]
000122,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000129,[ 0  0 15  0  0  0  0  0  0  0  0  0  0  0  0 15  0  0  0  0  0],[0 7 0 0 8]
000133,[0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0],[0 3 0 1 2]
000134,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000138,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 3 0 0 3]
000140,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0],[0 0 1 0 0]
000141,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000147,[ 0  0  0  0  0  0  0  0  0 42  0  0  0  0  0  0  0  0  0  0  0],[ 0  0  0  0 21]
000153,[ 0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 1 0 0 5]
000154,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
000159,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 1 0 0]
000161,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000162,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],[0 1 0 0 0]
000163,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
000164,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
000171,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
000173,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
000174,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
000187,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
000189,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000192,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1]
000193,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0],[0 3 0 0 0]
000194,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0],[0 1 0 0 2]
000198,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000200,[ 0  0  0  0  0 12  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0],[ 0  5  0  2 14]
000207,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000209,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000219,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
000220,[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 1 1]
000222,"[  0   0   0   0   0  28   0   0   0  28   0  14   0   0   0 140   0   0
   0   0   0]",[ 0 21  0  1 83]
000225,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0],[0 0 0 0 1]
000228,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000235,[ 0  0  0  0  0  0  0  0  0 24  0  6  0  0  0  0  6  0  6  0  0],[ 0  4  1  0 16]
000242,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000250,[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000256,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000259,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
000262,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000263,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
000276,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 0 0 0 3]
000278,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
000282,[ 0  0  0  0  0  0  0  0  0  4  0  0  0  0  0 16  0  0  0  0  0],[0 5 0 0 5]
000288,"[  0   0   0   0   0   0  11  11   0   0   0   0   0   0   0 110   0   0
   0   0   0]",[ 0  9  1  0 56]
000294,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
